,StateAbbr,CityName,UniqueID,DataValueTypeID,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,PopulationCount,GeoLocation,CityFIPS,TractFIPS
8611,TN,Memphis,4748000-47157000600,CrdPrv,18.6,16.8,20.2,"2,152","(35.1813344343, -89.9931859463)",4748000.0,47157000600.0
8615,TN,Memphis,4748000-47157003600,CrdPrv,17.3,15.8,18.9,"2,039","(35.1388721589, -90.0171874264)",4748000.0,47157003600.0
8980,TN,Memphis,4748000-47157001200,CrdPrv,19.1,17.7,20.6,"3,733","(35.155726388, -89.9357488258)",4748000.0,47157001200.0
9062,TN,Memphis,4748000-47157006600,CrdPrv,14.2,12.8,15.8,"2,286","(35.1198595159, -89.9845836583)",4748000.0,47157006600.0
9419,TN,Memphis,4748000-47157001500,CrdPrv,17.5,15.7,19.4,"1,745","(35.1529878945, -89.9740999194)",4748000.0,47157001500.0
9637,TN,Memphis,4748000-47157005000,CrdPrv,20.4,18.8,22.2,"1,074","(35.1214284589, -90.0510709047)",4748000.0,47157005000.0
9644,TN,Memphis,4748000-47157020532,CrdPrv,13.7,12.4,15.1,"5,294","(35.231628649, -89.9083777991)",4748000.0,47157020532.0
9648,TN,Memphis,4748000-47157003400,CrdPrv,15.4,13.6,17.4,"2,099","(35.1375845268, -90.0077830334)",4748000.0,47157003400.0
9666,TN,Memphis,4748000-47157011200,CrdPrv,21.0,18.8,23.3,"1,720","(35.1653247299, -90.01466327)",4748000.0,47157011200.0
9708,TN,Memphis,4748000-47157000700,CrdPrv,16.4,14.9,17.9,"4,861","(35.167318937, -89.9957716398)",4748000.0,47157000700.0
9741,TN,Memphis,4748000-47157002600,CrdPrv,11.2,9.9,12.8,"2,511","(35.1480882633, -90.0039733445)",4748000.0,47157002600.0
10047,TN,Memphis,4748000-47157011500,CrdPrv,19.9,18.2,21.8,"2,914","(35.1151683214, -90.023746709)",4748000.0,47157011500.0
10213,TN,Memphis,4748000-47157021333,CrdPrv,11.9,11.1,12.8,"3,754","(35.0744238867, -89.8350952675)",4748000.0,47157021333.0
10325,TN,Memphis,4748000-47157005700,CrdPrv,16.8,15.3,18.5,"2,633","(35.1042254381, -90.0410602235)",4748000.0,47157005700.0
10410,TN,Memphis,4748000-47157021140,CrdPrv,12.4,11.3,13.6,"3,538","(35.1231635222, -89.7877339183)",4748000.0,47157021140.0
10669,TN,Memphis,4748000-47157022210,CrdPrv,17.0,15.2,18.9,"4,615","(35.0369823853, -90.1163042443)",4748000.0,47157022210.0
10731,TN,Memphis,4748000-47157005500,CrdPrv,18.3,16.8,20.1,"2,731","(35.0939264046, -90.0593626816)",4748000.0,47157005500.0
10903,TN,Memphis,4748000-47157020511,CrdPrv,13.5,11.9,15.1,"2,128","(35.2054318433, -89.9601890603)",4748000.0,47157020511.0
10954,TN,Memphis,4748000-47157002000,CrdPrv,20.6,18.1,23.0,"1,969","(35.1609440412, -90.0330231229)",4748000.0,47157002000.0
11220,TN,Memphis,4748000-47157005300,CrdPrv,17.6,15.6,19.6,"3,945","(35.0921244788, -90.0753305935)",4748000.0,47157005300.0
11464,TN,Memphis,4748000-47157020644,CrdPrv,11.3,10.1,12.3,"1,651","(35.2261085894, -89.8883965952)",4748000.0,47157020644.0
11509,TN,Memphis,4748000-47157008200,CrdPrv,21.0,19.3,22.8,"4,840","(35.0867857888, -89.9413473048)",4748000.0,47157008200.0
11628,TN,Memphis,4748000-47157021311,CrdPrv,8.2,7.2,9.4,"4,778","(35.114875677, -89.8550127307)",4748000.0,47157021311.0
11775,TN,Memphis,4748000-47157010300,CrdPrv,20.2,18.0,22.4,"1,478","(35.2487179321, -89.9827911927)",4748000.0,47157010300.0
12066,TN,Memphis,4748000-47157009500,CrdPrv,10.4,9.5,11.4,"6,346","(35.0954974193, -89.8848429446)",4748000.0,47157009500.0
12376,TN,Memphis,4748000-47157010720,CrdPrv,18.5,16.6,20.6,"3,206","(35.0685599814, -89.8807294003)",4748000.0,47157010720.0
12794,TN,Memphis,4748000-47157021122,CrdPrv,15.2,13.9,16.5,"5,626","(35.1606530627, -89.8478108547)",4748000.0,47157021122.0
12946,TN,Memphis,4748000-47157002500,CrdPrv,16.1,15.2,17.2,"2,877","(35.150699683, -90.0159941929)",4748000.0,47157002500.0
13380,TN,Memphis,4748000-47157021142,CrdPrv,11.0,10.0,12.1,"3,440","(35.1924403124, -89.7796246334)",4748000.0,47157021142.0
13437,TN,Memphis,4748000-47157004200,CrdPrv,9.5,8.6,10.7,"2,348","(35.1442847811, -90.0582100389)",4748000.0,47157004200.0
13456,TN,Memphis,4748000-47157021710,CrdPrv,17.1,15.2,19.3,"3,114","(35.0721872855, -89.8740507694)",4748000.0,47157021710.0
13537,TN,Memphis,4748000-47157009901,CrdPrv,21.8,20.1,23.6,"3,297","(35.2161816308, -90.0391139667)",4748000.0,47157009901.0
13556,TN,Memphis,4748000-47157021141,CrdPrv,11.5,10.5,12.6,"7,301","(35.1877487555, -89.7655274748)",4748000.0,47157021141.0
13557,TN,Memphis,4748000-47157020523,CrdPrv,21.3,19.0,23.6,"3,547","(35.2457593667, -89.9346120777)",4748000.0,47157020523.0
13745,TN,Memphis,4748000-47157010500,CrdPrv,18.9,17.3,20.4,"2,413","(35.0641936611, -89.9415203708)",4748000.0,47157010500.0
13857,TN,Memphis,4748000-47157009300,CrdPrv,11.5,10.3,12.8,"4,495","(35.0982634565, -89.9091048206)",4748000.0,47157009300.0
13951,TN,Memphis,4748000-47157007200,CrdPrv,9.5,8.4,10.7,"2,322","(35.1220908833, -89.9534780972)",4748000.0,47157007200.0
13980,TN,Memphis,4748000-47157006300,CrdPrv,13.1,12.0,14.1,"2,405","(35.1204593496, -89.9976472225)",4748000.0,47157006300.0
14032,TN,Memphis,4748000-47157008110,CrdPrv,19.3,17.4,21.2,"2,725","(35.0838874997, -89.979099925)",4748000.0,47157008110.0
14176,TN,Memphis,4748000-47157000900,CrdPrv,19.4,17.5,21.6,"2,884","(35.1648970343, -89.9752407859)",4748000.0,47157000900.0
14387,TN,Memphis,4748000-47157011800,CrdPrv,17.1,15.6,18.6,"5,645","(35.0943497136, -89.9240324177)",4748000.0,47157011800.0
14423,TN,Memphis,4748000-47157007810,CrdPrv,17.3,15.8,18.9,"2,802","(35.0920939474, -90.0048579438)",4748000.0,47157007810.0
14437,TN,Memphis,4748000-47157021724,CrdPrv,15.2,13.7,16.8,"2,312","(35.05477243, -89.8349820514)",4748000.0,47157021724.0
14560,TN,Memphis,4748000-47157020541,CrdPrv,15.1,13.7,16.7,"5,158","(35.2142908345, -89.9099025834)",4748000.0,47157020541.0
14633,TN,Memphis,4748000-47157011010,CrdPrv,19.1,17.3,20.9,"4,116","(35.0368217543, -89.9594299087)",4748000.0,47157011010.0
14754,TN,Memphis,4748000-47157022130,CrdPrv,15.7,13.9,17.5,"5,920","(35.0007625499, -90.0116428254)",4748000.0,47157022130.0
14987,TN,Memphis,4748000-47157007900,CrdPrv,18.1,16.8,19.5,"5,528","(35.1013344538, -89.9594977525)",4748000.0,47157007900.0
15090,TN,Memphis,4748000-47157022112,CrdPrv,18.0,15.9,20.1,"6,014","(35.0282426445, -90.0009880951)",4748000.0,47157022112.0
