,Year,StateAbbr,StateDesc,CityName,GeographicLevel,UniqueID,DataValueTypeID,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,PopulationCount,GeoLocation,CityFIPS,TractFIPS
21654,2016,TX,Texas,San Antonio,Census Tract,4865000-48029180604,CrdPrv,11.8,10.9,12.8,"5,466","(29.4812227173, -98.570708223)",4865000.0,48029180604.0
21930,2016,TX,Texas,San Antonio,Census Tract,4865000-48029141402,CrdPrv,11.1,9.9,12.3,"3,622","(29.3454981204, -98.4145775978)",4865000.0,48029141402.0
22009,2016,TX,Texas,San Antonio,Census Tract,4865000-48029181813,CrdPrv,10.7,9.7,11.8,"6,011","(29.5567232663, -98.5799131578)",4865000.0,48029181813.0
22072,2016,TX,Texas,San Antonio,Census Tract,4865000-48029170200,CrdPrv,17.4,15.7,19.0,"5,382","(29.421662366, -98.5208933685)",4865000.0,48029170200.0
22097,2016,TX,Texas,San Antonio,Census Tract,4865000-48029181200,CrdPrv,8.9,8.1,9.8,"4,803","(29.5367969616, -98.5392171275)",4865000.0,48029181200.0
22244,2016,TX,Texas,San Antonio,Census Tract,4865000-48029130900,CrdPrv,15.1,14.2,16.1,"4,689","(29.4371696847, -98.4075568249)",4865000.0,48029130900.0
22266,2016,TX,Texas,San Antonio,Census Tract,4865000-48029171801,CrdPrv,13.9,12.6,15.3,"5,443","(29.413116509, -98.6393739879)",4865000.0,48029171801.0
22404,2016,TX,Texas,San Antonio,Census Tract,4865000-48029181402,CrdPrv,11.9,10.7,13.2,"1,995","(29.5122456058, -98.5803118105)",4865000.0,48029181402.0
22511,2016,TX,Texas,San Antonio,Census Tract,4865000-48029171902,CrdPrv,13.3,12.3,14.4,"9,551","(29.4358562656, -98.6533753218)",4865000.0,48029171902.0
22654,2016,TX,Texas,San Antonio,Census Tract,4865000-48029182001,CrdPrv,9.6,8.7,10.5,"3,122","(29.56982841, -98.6576824193)",4865000.0,48029182001.0
22683,2016,TX,Texas,San Antonio,Census Tract,4865000-48029150300,CrdPrv,15.2,14.3,16.1,"4,702","(29.3884112028, -98.5016463187)",4865000.0,48029150300.0
22873,2016,TX,Texas,San Antonio,Census Tract,4865000-48029121802,CrdPrv,13.0,12.1,13.8,"7,575","(29.5741362544, -98.3570123362)",4865000.0,48029121802.0
23059,2016,TX,Texas,San Antonio,Census Tract,4865000-48029121811,CrdPrv,10.3,9.3,11.2,"4,476","(29.5954572439, -98.3931972263)",4865000.0,48029121811.0
23082,2016,TX,Texas,San Antonio,Census Tract,4865000-48029181303,CrdPrv,17.4,16.2,18.8,"3,565","(29.5327948297, -98.5720174931)",4865000.0,48029181303.0
23119,2016,TX,Texas,San Antonio,Census Tract,4865000-48029140600,CrdPrv,14.5,13.0,16.0,"2,632","(29.3927381994, -98.4435776515)",4865000.0,48029140600.0
23142,2016,TX,Texas,San Antonio,Census Tract,4865000-48029181722,CrdPrv,10.1,9.3,11.0,"4,540","(29.5134446236, -98.6725579722)",4865000.0,48029181722.0
23205,2016,TX,Texas,San Antonio,Census Tract,4865000-48029191304,CrdPrv,13.7,12.4,15.2,"3,054","(29.5288447661, -98.4901636239)",4865000.0,48029191304.0
23218,2016,TX,Texas,San Antonio,Census Tract,4865000-48029150502,CrdPrv,14.1,12.6,15.6,"3,940","(29.3717613575, -98.5254763494)",4865000.0,48029150502.0
23313,2016,TX,Texas,San Antonio,Census Tract,4865000-48029171925,CrdPrv,11.4,10.3,12.4,"9,244","(29.4690951534, -98.6620143832)",4865000.0,48029171925.0
23423,2016,TX,Texas,San Antonio,Census Tract,4865000-48029181819,CrdPrv,12.0,10.8,13.2,"5,180","(29.5661163692, -98.609868834)",4865000.0,48029181819.0
23436,2016,TX,Texas,San Antonio,Census Tract,4865000-48029161000,CrdPrv,17.1,15.7,18.4,"3,898","(29.3440058985, -98.5727752221)",4865000.0,48029161000.0
23501,2016,TX,Texas,San Antonio,Census Tract,4865000-48029191807,CrdPrv,8.4,7.5,9.4,"3,401","(29.6260770585, -98.5928154394)",4865000.0,48029191807.0
23845,2016,TX,Texas,San Antonio,Census Tract,4865000-48029190200,CrdPrv,10.5,9.5,11.6,"4,375","(29.4525382607, -98.489807537)",4865000.0,48029190200.0
23948,2016,TX,Texas,San Antonio,Census Tract,4865000-48029171000,CrdPrv,16.6,14.8,18.2,"5,472","(29.4231641716, -98.5596063792)",4865000.0,48029171000.0
23998,2016,TX,Texas,San Antonio,Census Tract,4865000-48029121808,CrdPrv,11.6,10.7,12.3,"3,436","(29.584303492, -98.3897138914)",4865000.0,48029121808.0
24073,2016,TX,Texas,San Antonio,Census Tract,4865000-48029121804,CrdPrv,13.1,12.2,14.0,"6,353","(29.5670519868, -98.3757435223)",4865000.0,48029121804.0
24127,2016,TX,Texas,San Antonio,Census Tract,4865000-48029171502,CrdPrv,15.5,13.9,17.1,"4,831","(29.4271258947, -98.5800478717)",4865000.0,48029171502.0
24189,2016,TX,Texas,San Antonio,Census Tract,4865000-48029131300,CrdPrv,12.0,11.2,12.7,"5,559","(29.3925295895, -98.3976100503)",4865000.0,48029131300.0
24334,2016,TX,Texas,San Antonio,Census Tract,4865000-48029121504,CrdPrv,11.0,10.3,11.6,"3,357","(29.5355165327, -98.3690522466)",4865000.0,48029121504.0
24428,2016,TX,Texas,San Antonio,Census Tract,4865000-48029130300,CrdPrv,15.5,14.2,16.9,"3,303","(29.4073203054, -98.4671910178)",4865000.0,48029130300.0
24437,2016,TX,Texas,San Antonio,Census Tract,4865000-48029191811,CrdPrv,8.4,7.4,9.4,"3,658","(29.6495737911, -98.5109932313)",4865000.0,48029191811.0
24478,2016,TX,Texas,San Antonio,Census Tract,4865000-48029141600,CrdPrv,12.4,10.9,13.8,"4,410","(29.3291059265, -98.4373013705)",4865000.0,48029141600.0
24526,2016,TX,Texas,San Antonio,Census Tract,4865000-48029181727,CrdPrv,11.4,10.4,12.5,"3,168","(29.4718332775, -98.641593302)",4865000.0,48029181727.0
24529,2016,TX,Texas,San Antonio,Census Tract,4865000-48029171903,CrdPrv,13.2,12.0,14.4,"6,626","(29.4065711666, -98.6562223024)",4865000.0,48029171903.0
24669,2016,TX,Texas,San Antonio,Census Tract,4865000-48029140900,CrdPrv,13.9,12.6,15.3,"1,948","(29.3798119253, -98.4548663884)",4865000.0,48029140900.0
24725,2016,TX,Texas,San Antonio,Census Tract,4865000-48029191815,CrdPrv,8.7,7.8,9.7,"5,292","(29.6295575329, -98.5085687514)",4865000.0,48029191815.0
24748,2016,TX,Texas,San Antonio,Census Tract,4865000-48029130700,CrdPrv,17.8,16.4,19.4,"1,728","(29.4394903795, -98.4514072495)",4865000.0,48029130700.0
24897,2016,TX,Texas,San Antonio,Census Tract,4865000-48029121402,CrdPrv,13.8,12.8,14.6,"5,584","(29.4920674494, -98.3686618021)",4865000.0,48029121402.0
24940,2016,TX,Texas,San Antonio,Census Tract,4865000-48029181712,CrdPrv,9.6,8.6,10.5,"3,821","(29.4929997106, -98.6596090601)",4865000.0,48029181712.0
24991,2016,TX,Texas,San Antonio,Census Tract,4865000-48029151600,CrdPrv,13.9,12.9,14.9,"7,244","(29.3411913789, -98.4937924958)",4865000.0,48029151600.0
25148,2016,TX,Texas,San Antonio,Census Tract,4865000-48029111000,CrdPrv,13.5,12.2,14.8,"2,125","(29.4403237207, -98.4708577041)",4865000.0,48029111000.0
25327,2016,TX,Texas,San Antonio,Census Tract,4865000-48029181902,CrdPrv,8.2,7.4,9.2,"2,875","(29.6337355219, -98.628194314)",4865000.0,48029181902.0
25379,2016,TX,Texas,San Antonio,Census Tract,4865000-48029171914,CrdPrv,11.8,10.8,12.9,"5,368","(29.4334404796, -98.6789476247)",4865000.0,48029171914.0
25441,2016,TX,Texas,San Antonio,Census Tract,4865000-48029140200,CrdPrv,13.3,11.8,14.9,"3,033","(29.396212914, -98.4810899276)",4865000.0,48029140200.0
25592,2016,TX,Texas,San Antonio,Census Tract,4865000-48029191506,CrdPrv,8.9,8.3,9.6,"4,842","(29.5602052671, -98.5432132046)",4865000.0,48029191506.0
25636,2016,TX,Texas,San Antonio,Census Tract,4865000-48029110100,CrdPrv,11.9,11.1,12.8,"3,379","(29.4266197686, -98.4907465035)",4865000.0,48029110100.0
25677,2016,TX,Texas,San Antonio,Census Tract,4865000-48029181503,CrdPrv,10.6,9.6,11.7,"6,035","(29.5130820453, -98.6025821619)",4865000.0,48029181503.0
25688,2016,TX,Texas,San Antonio,Census Tract,4865000-48029181824,CrdPrv,10.8,9.9,11.8,"5,060","(29.5653482294, -98.6411643724)",4865000.0,48029181824.0
25862,2016,TX,Texas,San Antonio,Census Tract,4865000-48029191806,CrdPrv,8.0,7.2,8.9,"8,005","(29.6162000232, -98.5358141682)",4865000.0,48029191806.0
25970,2016,TX,Texas,San Antonio,Census Tract,4865000-48029160902,CrdPrv,15.3,13.5,17.0,"4,564","(29.3693473565, -98.5576989539)",4865000.0,48029160902.0
25972,2016,TX,Texas,San Antonio,Census Tract,4865000-48029160502,CrdPrv,13.3,11.8,14.9,"4,096","(29.4027444997, -98.5393755435)",4865000.0,48029160502.0
26073,2016,TX,Texas,San Antonio,Census Tract,4865000-48029181730,CrdPrv,11.2,10.2,12.2,"3,987","(29.4928985063, -98.670312364)",4865000.0,48029181730.0
26189,2016,TX,Texas,San Antonio,Census Tract,4865000-48029121206,CrdPrv,11.2,10.4,12.0,"7,267","(29.5529959255, -98.3918976455)",4865000.0,48029121206.0
