,Year,StateAbbr,StateDesc,CityName,GeographicLevel,UniqueID,DataValueTypeID,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,PopulationCount,GeoLocation,CityFIPS,TractFIPS
15703,2016,CA,California,Los Angeles,Census Tract,0644000-06037134104,CrdPrv,11.1,10.1,12.0,"4,322","(34.2119534107, -118.575384748)",644000.0,6037134104.0
15713,2016,CA,California,Los Angeles,Census Tract,0644000-06037192410,CrdPrv,9.5,8.7,10.4,"3,628","(34.0798577529, -118.318100781)",644000.0,6037192410.0
15714,2016,CA,California,Los Angeles,Census Tract,0644000-06037124203,CrdPrv,14.9,13.6,16.4,"2,748","(34.1776041103, -118.374664988)",644000.0,6037124203.0
15724,2016,CA,California,Los Angeles,Census Tract,0644000-06037209402,CrdPrv,21.4,19.0,23.3,"3,728","(34.0546618828, -118.277220984)",644000.0,6037209402.0
15781,2016,CA,California,Los Angeles,Census Tract,0644000-06037106646,CrdPrv,10.7,9.7,11.6,"3,237","(34.279737959, -118.49394483)",644000.0,6037106646.0
15801,2016,CA,California,Los Angeles,Census Tract,0644000-06037113303,CrdPrv,10.1,9.2,10.9,"4,006","(34.2438264739, -118.578802857)",644000.0,6037113303.0
15824,2016,CA,California,Los Angeles,Census Tract,0644000-06037227010,CrdPrv,20.0,18.1,21.8,"4,662","(34.0185255422, -118.246996939)",644000.0,6037227010.0
15895,2016,CA,California,Los Angeles,Census Tract,0644000-06037108101,CrdPrv,8.5,7.7,9.5,"2,230","(34.2793058728, -118.541652418)",644000.0,6037108101.0
15944,2016,CA,California,Los Angeles,Census Tract,0644000-06037294830,CrdPrv,17.5,15.6,19.4,"3,707","(33.772943385, -118.267011024)",644000.0,6037294830.0
15963,2016,CA,California,Los Angeles,Census Tract,0644000-06037228500,CrdPrv,18.9,16.9,20.9,"5,220","(34.0034918982, -118.269064776)",644000.0,6037228500.0
15971,2016,CA,California,Los Angeles,Census Tract,0644000-06037106645,CrdPrv,8.5,7.7,9.4,"3,389","(34.2905630964, -118.494173026)",644000.0,6037106645.0
15979,2016,CA,California,Los Angeles,Census Tract,0644000-06037134002,CrdPrv,13.3,12.3,14.4,"3,372","(34.201673831, -118.585633025)",644000.0,6037134002.0
15990,2016,CA,California,Los Angeles,Census Tract,0644000-06037228720,CrdPrv,19.2,17.1,21.2,"4,492","(33.9993670397, -118.249940574)",644000.0,6037228720.0
15991,2016,CA,California,Los Angeles,Census Tract,0644000-06037241201,CrdPrv,15.4,14.3,16.5,"2,898","(33.9402402333, -118.285834819)",644000.0,6037241201.0
16024,2016,CA,California,Los Angeles,Census Tract,0644000-06037262200,CrdPrv,7.3,6.8,7.9,"4,675","(34.1017239699, -118.469802024)",644000.0,6037262200.0
16033,2016,CA,California,Los Angeles,Census Tract,0644000-06037240800,CrdPrv,17.5,16.4,18.5,"4,377","(33.9397954259, -118.26109293)",644000.0,6037240800.0
16124,2016,CA,California,Los Angeles,Census Tract,0644000-06037271600,CrdPrv,8.6,7.8,9.5,"4,475","(34.0212137035, -118.431063612)",644000.0,6037271600.0
16219,2016,CA,California,Los Angeles,Census Tract,0644000-06037111201,CrdPrv,10.4,9.4,11.4,"3,410","(34.2748334645, -118.510148998)",644000.0,6037111201.0
